lon,lat,lanid12,lanid17,mirad12,mirad17,aim12,aim17,aim_valid
-122.9,44.7,5515.1220703125,5354.115234375,4849.08740234375,6488.3232421875,0,0,0
-122.9,44.9,8122.56396484375,9400.9736328125,8459.23828125,10838.7158203125,0,0,0
-122.9,45.1,7609.51806640625,10247.7958984375,7775.4462890625,8817.0693359375,0,0,0
-122.9,45.3,2511.26025390625,3293.40649414063,3703.92407226563,4034.82470703125,0,0,0
-122.9,45.5,1756.13293457031,2402.68188476563,2489.7119140625,2156.43798828125,0,0,0
-122.9,45.7,1347.4248046875,1629.36596679688,1057.49365234375,1218.23095703125,0,0,0
-122.9,45.9,16.822624206543,3.81410098075867,168.009994506836,218.75,0,0,0
-122.9,46.1,32.8499984741211,8.72999954223633,218.467239379883,62.5,0,0,0
-122.9,46.3,77.8661422729492,52.8812026977539,889.287963867188,260.989074707031,0,0,0
-122.9,46.5,247.483856201172,341.948791503906,527.89208984375,880.213928222656,0,0,0
-122.9,46.7,114.178230285645,205.908294677734,316.924224853516,342.039916992188,0,0,0
-122.9,46.9,424.477172851563,557.716796875,555.67724609375,456.464782714844,0,0,0
-122.9,47.1,0,0,158.323333740234,86.1212768554688,0,0,0
-122.9,47.3,0,3.24000000953674,16.6646099090576,25,0,0,0
-122.9,47.5,0,0,12.5,0,0,0,0
-122.9,47.9,25.3799991607666,20.7000007629395,18.75,34.6441040039063,0,0,0
-122.9,48.5,0,0,100,137.5,0,0,0
-122.9,48.7,0,0,18.75,12.5,0,0,0
-122.7,38.1,72.3519592285156,72.3519592285156,22.490478515625,22.490478515625,0,0,0
-122.7,38.3,797.925231933594,887.000549316406,2364.43920898438,2346.03076171875,0,0,0
-122.7,38.5,1606.11645507813,1764.1103515625,2645.92163085938,2697.06518554688,0,0,0
-122.7,38.7,1477.22570800781,1563.46325683594,970.792846679688,1097.95861816406,0,0,0
-122.7,38.9,645.030029296875,773.460021972656,143.75,237.5,0,0,0
-122.7,39.1,60.0299987792969,76.1399993896484,0,0,0,0,0
-122.7,39.3,0,0,0,0,0,0,0
-122.7,40.5,14.1712646484375,14.1712646484375,0,0,0,0,0
-122.7,41.3,133.351013183594,82.5010070800781,7.88951015472412,0,0,0,0
-122.7,41.5,206.474060058594,135.439086914063,104.8203125,45.3052864074707,0,0,0
-122.7,41.7,317.270721435547,123.204528808594,193.293807983398,112.583938598633,0,0,0
-122.7,41.9,4.76999998092651,0,0,0,0,0,0
-122.7,42.1,202.029586791992,204.617462158203,214.408920288086,226.858520507813,0,0,0
-122.7,42.3,1209.48095703125,1020.58978271484,1941.18103027344,1813.25891113281,0,0,0
-122.7,42.5,1473.57775878906,1672.98095703125,2870.05322265625,3404.67602539063,0,0,0
-122.7,42.7,20.7000007629395,20.7000007629395,43.75,43.75,0,0,0
-122.7,43.9,0,0,0,37.5,0,0,0
-122.7,44.1,34.1100006103516,32.8499984741211,68.75,87.5,0,0,0
-122.7,44.3,138.631195068359,110.984558105469,53.2705917358399,220.833541870117,0,0,0
-122.7,44.5,108.688812255859,118.169998168945,210.734375,749.015258789063,0,0,0
-122.7,44.7,1520.98327636719,1907.91284179688,1300.32751464844,1904.2060546875,0,0,0
-122.7,44.9,5866.7978515625,6780.00439453125,7200.72412109375,9474.7861328125,0,0,0
-122.7,45.1,7197.57080078125,6568.53662109375,5197.56982421875,5245.14111328125,0,0,0
-122.7,45.3,2007.2353515625,1711.87121582031,1008.24749755859,1652.42810058594,0,0,0
-122.7,45.5,0,0,25.3657608032227,25.4449672698975,0,0,0
-122.7,45.7,981.573669433594,1174.82287597656,461.210021972656,363.352172851563,0,0,0
-122.7,45.9,1455.12646484375,1388.57592773438,883.971496582031,757.110778808594,0,0,0
-122.7,46.1,3.32999992370605,0,150,25,0,0,0
-122.7,46.3,13.9499998092651,7.65000009536743,214.000030517578,35.2603797912598,0,0,0
-122.7,46.5,446.830810546875,466.019989013672,258.193359375,334.960998535156,0,0,0
